# Start at 2020-03-12 18:08:26.630562
# EA  EB  tA  tB
# 
34.336 1.711 88.993 10.038
43.069 0.252 101.128 30.000
87.309 2.216 112.389 11.143
43.530 0.000 103.681 0.000
37.274 0.000 107.632 0.000
105.035 2.911 113.258 177.000
50.272 0.000 104.794 0.000
51.821 0.257 107.391 45.000
28.436 0.252 67.028 129.000
29.706 0.000 72.378 0.000
122.023 0.000 114.001 0.000
51.533 0.000 104.757 0.000
333.766 5.896 116.638 0.000
55.009 0.000 106.773 9.586
141.824 1.513 114.124 31.071
134.716 1.493 114.404 11.923
200.434 0.000 116.148 0.000
133.628 209.030 113.577 114.429
65.493 0.252 108.843 380.000
138.452 0.000 114.970 9.586
100.465 0.000 112.350 9.586
140.539 0.000 114.672 9.586
342.890 0.000 117.117 9.586
57.127 0.252 104.695 71.000
1037.737 0.748 141.736 100.000
143.496 0.628 115.223 18.053
51.290 3.375 102.732 472.562
136.575 0.000 113.560 9.586
41.506 1.708 95.390 13.062
156.159 1.891 115.376 12.364
295.060 0.348 116.021 18.025
68.480 0.000 107.627 9.586
94.863 198.971 111.999 112.440
33.649 2.782 95.827 119.000
28.626 1.517 37.997 9.872
51.886 1.461 104.721 14.116
30.990 1.744 85.029 10.156
65.911 2.507 110.116 12.098
45.018 0.000 101.162 0.000
51.168 1.273 113.779 9.920
43.220 0.496 102.182 23.015
126.747 1.442 114.809 19.366
176.606 0.252 116.000 282.000
33.509 0.978 85.973 16.328
134.276 0.732 115.145 16.030
29.974 0.497 75.926 310.000
29.536 0.000 75.926 0.000
140.909 0.000 114.705 0.000
60.665 0.000 109.015 0.000
145.632 0.000 115.404 0.000
74.561 1.969 111.253 14.367
341.034 0.000 117.698 0.000
52.147 2.608 109.844 197.000
1.881 1.727 176.000 17.030
55.696 0.760 106.415 69.558
82.223 2.293 110.150 299.000
61.899 1.001 111.999 172.000
218.286 2.233 116.680 9.224
38.668 4.563 100.622 426.142
375.701 0.502 117.282 28.558
28.765 0.497 51.227 51.000
140.541 0.749 114.709 34.000
48.135 0.758 102.969 20.049
70.217 1.269 109.575 40.025
40.134 0.497 100.678 9.014
153.040 0.000 114.970 0.000
73.684 1.229 110.296 13.040
96.048 1.835 112.025 9.895
56.601 2.779 106.339 214.000
31.294 0.000 82.997 0.000
144.055 0.000 113.879 0.000
37.510 0.000 93.745 0.000
36.224 212.780 95.826 98.182
55.208 0.000 105.799 0.000
31.986 0.000 84.996 0.000
198.768 0.000 115.571 0.000
47.764 0.000 102.354 0.000
48.399 0.000 101.162 0.000
38.121 2.426 97.538 143.000
65.188 0.485 108.010 127.000
139.416 0.000 114.725 9.586
29.793 0.000 82.997 9.586
31.735 0.000 114.763 9.586
57.916 0.000 109.002 9.586
77.808 0.000 110.287 9.586
48.145 0.000 101.162 9.586
53.555 0.000 107.324 9.586
132.733 1.223 114.136 16.085
73.652 1.753 109.459 16.095
305.770 0.000 116.999 0.000
35.004 0.987 89.997 8.046
62.270 1.716 112.546 9.063
29.497 0.938 62.822 25.000
127.205 1.745 113.922 11.359
320.508 0.252 116.610 96.000
135.266 1.777 112.677 11.318
49.486 0.000 105.784 0.000
