-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 03/05/2015 
Location: Latitude  52.2125   Longitude 20.9829 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 112.81 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT        MERRA2 1/2x1/2 Precipitation (mm day-1) 
PS             MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M            MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M_RANGE    MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
YEAR MO DY     T2M PRECTOT      PS WS10M_RANGE
-END HEADER-
2015 01 01    0.24    0.56  101.30    1.96
2015 01 02    1.43    1.48  100.14    5.60
2015 01 03    1.57    2.13   99.62    4.70
2015 01 04    0.53    0.43   99.43    2.32
2015 01 05   -1.42    0.23  100.39    2.07
2015 01 06   -7.95    0.01  101.49    3.92
2015 01 07   -9.57    0.61  101.67    3.67
2015 01 08   -2.99    2.54  100.91    6.33
2015 01 09    1.59   10.16   99.18    4.45
2015 01 10    3.15    5.46   98.29    8.30
2015 01 11    1.74    0.84   98.50    1.77
2015 01 12    2.42    1.72   99.52    4.15
2015 01 13    4.12    0.66   99.66    3.12
2015 01 14    2.78    0.67   99.56    6.18
2015 01 15    0.08    0.48  100.02    3.94
2015 01 16    1.71    0.01   99.77    3.65
2015 01 17    1.33    0.97   99.70    3.73
2015 01 18    0.41    1.13  100.49    1.09
2015 01 19   -1.51    0.17  100.46    4.14
2015 01 20   -0.41    1.01  100.18    3.44
2015 01 21    0.48    0.35  100.23    1.90
2015 01 22    0.03    3.04  100.53    3.12
2015 01 23   -0.88    1.52  100.51    2.26
2015 01 24   -2.40    1.62  100.50    2.27
2015 01 25   -2.60    2.33  100.48    2.96
2015 01 26   -3.31    0.19  100.77    2.58
2015 01 27   -2.80    1.01   99.71    3.66
2015 01 28   -0.82    1.28   99.51    2.81
2015 01 29   -1.74    1.11   98.05    5.59
2015 01 30   -1.67    2.35   96.75    4.89
2015 01 31   -1.36    4.84   96.43    5.37
2015 02 01   -2.95    0.03   97.58    3.57
2015 02 02   -3.41    0.06   98.20    1.84
2015 02 03   -2.32    0.16   98.81    0.97
2015 02 04   -3.17    0.13   99.66    3.37
2015 02 05   -4.32    0.36  100.91    1.61
2015 02 06   -5.87    0.05  101.46    1.56
2015 02 07   -3.30    0.70  100.33    6.69
2015 02 08   -2.07    1.00   99.26    3.57
2015 02 09   -2.32    2.62   99.75    2.20
2015 02 10    0.03    1.74  100.69    2.25
2015 02 11   -0.21    0.24  101.19    1.94
2015 02 12   -0.63    0.13  101.25    1.64
2015 02 13   -1.00    0.06  100.96    1.21
2015 02 14   -0.88    0.00  100.57    2.21
2015 02 15   -1.97    0.05  101.00    4.69
2015 02 16   -3.72    0.03  101.97    2.76
2015 02 17   -5.49    0.00  102.30    4.92
2015 02 18   -2.35    0.10  102.14    1.85
2015 02 19    0.60    0.86  101.24    3.82
2015 02 20    0.59    0.00  100.34    2.34
2015 02 21    1.00    0.00   99.15    1.66
2015 02 22    2.14    0.15   99.42    3.45
2015 02 23    1.94    0.41   99.15    2.14
2015 02 24    3.46    0.15   99.29    3.56
2015 02 25    2.94    0.47  100.22    2.22
2015 02 26    3.00    1.65  100.63    1.85
2015 02 27    3.62    0.10  100.21    1.89
2015 02 28    2.81    0.16  100.32    2.53
2015 03 01    2.67    0.51   99.75    4.88
2015 03 02    3.00    2.81   98.72    4.30
2015 03 03    1.21    0.69   99.78    4.94
2015 03 04    0.70    3.99  100.23    7.95
2015 03 05   -0.01    0.83  101.25    1.83

