-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2022 
Location: Latitude  51.8997   Longitude 17.7874 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 101.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,QV2M,PS,WS10M,WS50M
2021,1,1,-1.23,0.21,3.3,99.72,3.77,5.48
2021,1,2,-0.85,0.37,3.36,100.31,2.59,4.0
2021,1,3,-0.3,3.39,3.6,100.25,5.09,6.73
2021,1,4,-0.17,1.35,3.6,100.38,2.86,4.41
2021,1,5,-0.24,7.25,3.6,100.01,4.41,6.12
2021,1,6,-1.48,1.51,3.3,99.76,2.3,3.56
2021,1,7,-1.38,3.58,3.3,99.72,3.63,5.59
2021,1,8,-3.16,0.23,2.81,99.98,3.03,4.96
2021,1,9,-3.7,0.57,2.75,100.59,3.31,5.05
2021,1,10,-3.33,0.31,2.87,101.01,2.45,3.65
2021,1,11,-3.12,0.06,2.75,100.68,5.09,7.34
2021,1,12,-2.72,3.23,2.87,99.22,6.22,8.49
2021,1,13,-0.87,5.21,3.48,99.17,5.43,7.87
2021,1,14,-4.59,1.48,2.62,99.67,3.98,6.28
2021,1,15,-8.06,0.45,1.83,100.65,3.09,5.38
2021,1,16,-5.81,1.66,2.26,100.55,5.67,7.89
2021,1,17,-19.81,0.04,0.67,100.77,2.7,4.32
2021,1,18,-12.46,1.15,1.4,100.78,3.23,5.14
2021,1,19,-0.46,4.68,3.6,99.83,4.71,7.0
2021,1,20,0.76,2.01,3.85,99.38,5.84,9.01
2021,1,21,0.8,0.0,3.78,99.04,6.56,9.89
2021,1,22,1.61,0.17,4.15,98.45,5.79,9.18
2021,1,23,0.83,4.69,4.03,98.23,5.27,7.72
2021,1,24,-1.27,3.37,3.36,98.35,1.95,3.23
2021,1,25,-2.04,0.27,3.17,98.86,3.64,5.36
2021,1,26,-1.36,0.98,3.23,99.58,5.7,7.96
2021,1,27,-2.34,0.21,3.05,99.97,4.23,6.13
2021,1,28,-2.53,0.99,3.05,99.12,4.23,6.59
2021,1,29,-4.35,0.13,2.44,98.62,3.12,4.61
2021,1,30,-4.27,2.4,2.62,98.66,3.77,5.39
2021,1,31,-7.47,0.01,1.95,99.32,3.49,5.13
2021,2,1,-7.13,0.0,1.95,99.15,4.94,7.07
2021,2,2,-2.27,2.5,3.17,99.09,4.14,6.52
2021,2,3,1.46,7.64,4.21,98.85,3.8,6.7
2021,2,4,-0.83,1.59,3.3,99.66,5.27,7.23
2021,2,5,-3.77,0.01,2.32,100.82,4.28,6.07
2021,2,6,-5.29,0.01,1.95,100.82,6.08,7.87
2021,2,7,-9.66,0.84,1.28,100.2,9.91,12.32
2021,2,8,-11.1,5.8,1.34,99.0,7.34,9.23
2021,2,9,-9.24,0.53,1.53,99.23,0.84,1.05
2021,2,10,-8.72,0.28,1.65,99.71,2.23,2.91
2021,2,11,-11.76,0.01,1.28,100.96,4.54,6.38
2021,2,12,-9.35,0.52,1.65,101.84,3.91,5.9
2021,2,13,-4.85,0.3,2.44,102.2,5.44,7.67
2021,2,14,-5.49,0.2,2.26,102.48,5.82,7.77
2021,2,15,-6.45,0.08,2.01,102.21,3.55,5.08
2021,2,16,-3.16,1.1,2.81,100.79,4.01,5.8
2021,2,17,0.39,6.37,3.78,100.08,5.04,7.66
2021,2,18,0.75,0.59,3.85,100.74,3.77,5.67
2021,2,19,1.36,1.81,4.03,100.49,5.33,8.14
