-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 03/31/2021 
Location: Latitude  41.2794   Longitude 1.9794 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,WS2M,PS,WS10M,PRECTOTCORR,T2M
2000,1,1,1.85,99.09,2.64,0.03,6.74
2000,1,2,1.01,99.16,1.43,0.0,7.44
2000,1,3,1.2,99.32,1.77,0.0,7.45
2000,1,4,2.63,99.13,4.05,0.01,5.78
2000,1,5,1.64,98.76,2.56,0.04,6.94
2000,1,6,2.14,98.64,3.3,0.02,6.33
2000,1,7,1.51,98.87,2.23,0.01,6.88
2000,1,8,1.46,98.79,2.09,0.06,7.87
2000,1,9,1.11,98.63,1.6,1.31,7.62
2000,1,10,1.12,99.16,1.71,0.65,7.05
2000,1,11,0.87,99.62,1.22,0.01,5.3
2000,1,12,1.09,99.24,1.51,0.01,5.05
2000,1,13,1.05,98.49,1.47,0.03,4.8
2000,1,14,2.56,97.94,3.52,1.44,5.66
2000,1,15,3.0,98.38,4.38,2.85,7.44
2000,1,16,1.37,98.85,1.99,0.62,6.79
2000,1,17,2.0,99.0,3.01,0.0,5.17
2000,1,18,2.42,98.29,3.96,0.0,8.35
2000,1,19,1.87,98.38,2.71,0.02,6.76
2000,1,20,1.64,99.19,2.46,0.0,4.21
2000,1,21,1.82,98.79,2.95,0.0,4.69
2000,1,22,2.19,98.21,3.15,0.0,5.54
2000,1,23,2.95,98.08,4.37,0.13,3.22
2000,1,24,1.96,98.08,2.8,0.02,3.45
2000,1,25,2.38,98.36,3.55,5.7,2.55
2000,1,26,3.23,99.02,4.5,0.77,4.4
2000,1,27,1.1,99.34,1.61,0.4,7.57
2000,1,28,1.12,98.94,1.62,0.0,7.7
2000,1,29,2.22,98.99,3.16,0.0,7.58
2000,1,30,1.98,99.3,3.02,0.0,9.37
2000,1,31,1.55,99.35,2.41,0.0,10.04
2000,2,1,2.88,98.9,4.51,0.0,11.6
2000,2,2,2.99,98.8,4.43,0.1,11.33
2000,2,3,1.91,99.36,2.98,0.05,11.2
2000,2,4,1.42,99.86,1.95,0.0,10.76
2000,2,5,2.04,99.7,2.94,0.0,9.29
2000,2,6,1.8,99.27,2.59,0.0,9.84
2000,2,7,2.12,99.2,3.23,0.03,9.9
2000,2,8,2.45,98.98,3.7,0.01,11.89
2000,2,9,2.02,99.26,3.02,0.04,10.55
2000,2,10,2.29,99.09,3.48,0.0,10.71
2000,2,11,1.89,98.8,2.72,0.2,11.27
2000,2,12,2.02,99.03,2.86,0.35,8.86
2000,2,13,0.88,99.1,1.33,0.44,7.79
2000,2,14,1.37,98.85,1.99,0.88,11.0
2000,2,15,2.02,98.76,3.06,0.13,11.37
2000,2,16,4.58,98.25,6.48,1.17,8.88
2000,2,17,4.06,98.09,5.88,1.36,9.69
2000,2,18,3.34,98.52,4.94,0.01,10.69
2000,2,19,3.29,98.24,4.77,0.06,10.26
2000,2,20,2.07,98.66,3.06,0.01,8.7
2000,2,21,2.38,98.9,3.32,0.14,9.15
2000,2,22,1.5,98.73,2.03,0.0,9.16
2000,2,23,1.8,98.97,2.66,0.0,9.01
2000,2,24,1.84,99.42,2.66,0.0,9.91
2000,2,25,2.53,99.38,3.62,0.0,11.02
2000,2,26,1.42,99.3,2.05,0.0,12.28
2000,2,27,1.4,99.2,1.97,0.0,11.69
2000,2,28,1.36,99.1,1.86,0.0,10.22
2000,2,29,2.08,98.82,2.88,0.01,10.37
2000,3,1,5.21,98.08,7.42,0.24,10.42
2000,3,2,2.11,99.0,3.13,0.03,8.87
2000,3,3,2.88,98.68,4.17,0.0,9.81
2000,3,4,1.38,98.54,2.01,0.05,11.58
2000,3,5,2.04,99.21,2.85,0.0,9.26
2000,3,6,2.13,99.39,2.95,0.0,9.96
2000,3,7,2.07,99.28,2.91,0.0,10.83
2000,3,8,1.73,99.41,2.45,0.0,13.01
2000,3,9,1.61,99.23,2.48,0.1,15.81
2000,3,10,1.76,98.91,2.84,0.0,15.69
2000,3,11,1.41,98.58,2.21,0.0,15.7
2000,3,12,2.0,98.36,2.96,0.0,14.39
2000,3,13,2.87,98.57,4.06,0.02,11.04
2000,3,14,1.62,98.78,2.45,0.0,13.19
2000,3,15,2.48,98.66,3.72,0.0,13.44
2000,3,16,2.17,98.89,3.16,0.0,11.13
2000,3,17,1.87,98.57,2.88,0.0,12.87
2000,3,18,1.94,98.36,2.8,0.0,12.91
2000,3,19,2.13,98.5,3.13,0.02,9.7
2000,3,20,2.7,98.31,3.87,1.08,9.13
2000,3,21,3.17,98.35,4.38,0.03,10.04
2000,3,22,4.05,98.24,5.52,0.45,10.87
2000,3,23,3.02,97.76,4.2,4.87,11.98
2000,3,24,1.52,97.89,2.27,0.14,11.94
2000,3,25,1.92,98.06,2.77,0.13,12.75
2000,3,26,3.29,98.02,4.54,0.94,10.76
2000,3,27,4.63,97.41,6.3,2.52,9.5
2000,3,28,1.79,97.19,2.38,4.04,7.49
2000,3,29,3.05,97.5,4.26,0.29,8.29
2000,3,30,2.16,97.9,3.14,5.99,8.46
2000,3,31,3.62,97.37,5.13,13.72,10.1
2000,4,1,2.09,97.31,3.03,0.0,10.36
2000,4,2,3.18,96.32,4.44,0.79,11.03
2000,4,3,4.43,95.79,6.14,1.49,11.82
2000,4,4,3.18,96.11,4.62,0.39,10.82
2000,4,5,2.35,97.23,3.39,0.2,10.27
2000,4,6,1.82,98.29,2.45,0.05,9.56
2000,4,7,1.85,98.59,2.54,0.0,10.86
2000,4,8,4.84,98.09,6.69,0.33,10.82
2000,4,9,3.38,97.01,4.59,1.33,13.05
2000,4,10,3.19,96.75,4.3,16.54,10.14
2000,4,11,2.05,96.6,2.93,5.49,11.19
2000,4,12,4.41,96.7,6.16,0.04,11.27
2000,4,13,2.94,96.93,4.17,0.0,12.16
2000,4,14,3.18,96.72,4.41,1.13,12.75
2000,4,15,3.38,97.03,4.66,0.37,11.63
2000,4,16,2.76,96.39,3.95,6.22,11.94
2000,4,17,2.93,97.29,4.17,0.13,12.45
2000,4,18,3.73,97.59,5.29,0.15,12.94
2000,4,19,2.21,97.72,3.27,0.1,14.9
2000,4,20,2.39,97.82,3.5,0.0,16.3
2000,4,21,1.91,98.0,2.84,0.0,17.03
2000,4,22,2.02,97.8,2.91,0.48,16.47
2000,4,23,4.61,97.93,6.43,3.98,14.23
2000,4,24,2.88,98.03,4.01,0.0,14.23
2000,4,25,1.98,97.67,2.75,0.0,16.27
2000,4,26,2.15,97.5,3.01,0.02,14.83
2000,4,27,2.55,96.9,3.59,1.0,13.8
2000,4,28,1.92,97.38,2.65,10.85,11.64
2000,4,29,1.7,98.02,2.27,0.24,13.21
2000,4,30,1.47,98.18,2.03,0.01,13.97
2000,5,1,1.61,97.92,2.2,0.04,15.05
2000,5,2,1.8,97.93,2.51,0.32,17.21
2000,5,3,1.64,98.07,2.27,0.0,17.95
2000,5,4,4.11,97.89,5.76,0.03,16.79
2000,5,5,1.85,97.53,2.66,1.57,17.37
2000,5,6,1.7,97.53,2.46,0.09,17.12
2000,5,7,1.7,97.76,2.42,0.16,16.82
2000,5,8,2.06,98.0,2.88,0.16,16.65
2000,5,9,3.88,97.71,5.36,1.01,17.67
2000,5,10,3.19,97.67,4.34,16.83,16.01
2000,5,11,1.69,98.06,2.36,0.52,16.78
2000,5,12,1.48,98.34,2.04,0.04,18.3
2000,5,13,1.8,98.45,2.56,0.0,19.61
2000,5,14,1.93,98.5,2.76,0.0,19.9
2000,5,15,1.82,98.5,2.59,0.11,19.98
2000,5,16,1.75,98.3,2.36,2.4,19.77
2000,5,17,1.34,98.13,1.82,1.45,19.77
2000,5,18,2.37,97.94,3.3,0.18,19.08
2000,5,19,2.98,97.92,4.08,1.91,17.47
2000,5,20,2.75,97.8,3.67,0.55,17.89
2000,5,21,1.49,97.77,2.02,1.08,18.01
2000,5,22,2.63,98.21,3.62,5.49,16.8
2000,5,23,2.3,98.42,3.08,0.03,19.05
2000,5,24,2.01,98.2,2.66,0.66,19.92
2000,5,25,1.94,98.21,2.65,0.59,20.3
2000,5,26,2.68,98.04,3.64,1.15,20.48
2000,5,27,2.61,98.17,3.49,2.66,17.22
2000,5,28,2.54,98.03,3.51,0.02,20.05
2000,5,29,2.79,98.25,3.87,0.06,21.39
2000,5,30,2.66,98.47,3.69,0.01,21.75
2000,5,31,2.62,98.54,3.53,0.0,21.18
2000,6,1,1.88,98.67,2.55,0.0,21.95
2000,6,2,1.8,98.54,2.45,0.23,21.84
2000,6,3,1.94,98.34,2.63,0.41,21.74
2000,6,4,1.75,98.25,2.35,0.3,21.53
2000,6,5,1.72,98.04,2.37,9.79,21.58
2000,6,6,2.11,98.29,2.91,3.15,19.41
2000,6,7,2.23,98.44,3.03,0.0,19.08
2000,6,8,2.23,98.15,3.08,0.0,20.07
2000,6,9,3.48,97.86,4.7,0.44,19.69
2000,6,10,4.23,97.32,5.71,8.39,16.49
2000,6,11,3.91,98.22,5.24,2.45,15.99
2000,6,12,2.8,98.72,3.84,0.49,19.33
2000,6,13,1.57,98.83,2.21,2.06,19.35
2000,6,14,1.53,98.9,2.23,1.68,20.3
2000,6,15,2.03,98.71,3.0,0.04,23.83
2000,6,16,2.02,98.54,2.97,0.0,25.39
2000,6,17,1.83,98.57,2.68,0.0,24.39
2000,6,18,3.79,98.81,5.3,0.0,22.3
2000,6,19,2.2,98.71,3.06,0.0,21.98
2000,6,20,2.39,98.4,3.15,0.0,21.04
2000,6,21,2.5,98.37,3.31,0.03,21.43
2000,6,22,2.09,98.48,2.76,0.0,22.64
2000,6,23,2.41,98.59,3.15,0.3,20.77
2000,6,24,2.75,98.43,3.69,0.22,21.23
2000,6,25,3.13,98.3,4.14,0.2,21.11
2000,6,26,2.41,98.34,3.19,0.01,22.35
2000,6,27,2.74,98.19,3.8,0.12,24.44
2000,6,28,2.25,98.15,3.05,0.0,24.24
2000,6,29,2.49,98.26,3.3,0.0,23.73
2000,6,30,2.54,98.02,3.33,0.0,23.69
2000,7,1,2.01,97.75,2.61,0.01,24.11
2000,7,2,2.17,97.69,3.04,0.0,24.56
2000,7,3,2.22,97.4,3.12,0.0,25.78
2000,7,4,2.98,97.7,4.05,0.01,23.45
2000,7,5,2.3,98.3,3.0,0.0,22.62
2000,7,6,1.78,98.15,2.41,0.0,23.43
2000,7,7,2.62,97.82,3.65,0.0,25.86
2000,7,8,2.41,98.02,3.29,0.01,24.14
2000,7,9,2.9,98.05,3.79,0.0,21.9
2000,7,10,3.15,97.08,4.27,1.33,21.3
2000,7,11,3.24,97.37,4.38,1.62,19.63
2000,7,12,3.11,98.22,4.12,0.22,19.48
2000,7,13,2.62,98.46,3.43,0.0,21.09
2000,7,14,2.54,98.02,3.44,0.07,23.05
2000,7,15,2.87,97.68,3.84,0.9,22.76
2000,7,16,2.67,97.95,3.55,0.52,20.14
2000,7,17,2.0,98.13,2.54,0.13,20.6
2000,7,18,2.16,98.18,2.84,0.03,21.74
2000,7,19,2.22,98.12,2.88,0.0,24.08
2000,7,20,2.16,98.13,2.84,0.0,24.48
2000,7,21,2.33,98.2,3.08,0.0,24.01
2000,7,22,2.31,97.96,3.11,0.0,24.11
2000,7,23,2.83,97.58,3.83,2.06,22.23
2000,7,24,2.8,97.48,3.87,0.02,24.19
2000,7,25,2.7,97.39,3.64,1.08,24.19
2000,7,26,1.95,97.78,2.71,0.02,23.95
2000,7,27,2.18,98.12,2.9,0.03,24.65
2000,7,28,2.68,98.24,3.57,0.25,24.12
2000,7,29,2.41,98.49,3.12,0.0,23.57
2000,7,30,2.54,98.64,3.3,0.82,23.28
2000,7,31,2.59,98.68,3.38,0.0,24.5
2000,8,1,2.05,98.61,2.75,0.0,24.76
2000,8,2,2.06,98.49,2.71,0.15,25.01
2000,8,3,2.76,98.3,3.64,0.61,23.36
2000,8,4,2.6,98.41,3.35,0.23,21.79
2000,8,5,2.02,98.54,2.62,3.01,21.3
2000,8,6,1.91,98.65,2.55,2.69,21.84
2000,8,7,2.15,98.58,2.85,0.0,23.13
2000,8,8,2.62,98.46,3.52,0.0,24.01
2000,8,9,2.16,98.45,2.86,0.0,24.05
2000,8,10,2.74,98.36,3.66,0.0,24.65
2000,8,11,2.26,97.97,3.01,0.01,23.55
2000,8,12,3.76,97.87,5.09,1.47,23.26
2000,8,13,2.69,98.27,3.74,0.01,24.56
2000,8,14,1.85,98.59,2.52,0.0,25.61
2000,8,15,2.19,98.6,3.05,0.04,26.59
2000,8,16,2.11,98.29,2.83,0.02,26.49
2000,8,17,1.87,98.1,2.45,0.03,25.88
2000,8,18,2.23,97.86,3.09,0.0,24.73
2000,8,19,2.05,97.91,2.88,0.0,25.67
2000,8,20,1.84,97.91,2.57,0.0,26.38
2000,8,21,2.87,97.88,3.99,0.26,25.62
2000,8,22,2.32,98.07,3.06,0.0,23.37
2000,8,23,2.07,98.21,2.73,0.0,24.08
2000,8,24,2.01,98.44,2.99,0.0,25.39
2000,8,25,2.3,98.03,3.36,0.0,26.68
2000,8,26,2.73,97.58,3.84,0.06,25.84
2000,8,27,2.7,98.3,3.59,0.06,23.4
2000,8,28,2.45,98.53,3.26,1.29,22.76
2000,8,29,2.09,98.35,2.78,0.15,23.28
2000,8,30,2.45,97.8,3.3,8.66,21.95
2000,8,31,2.15,97.64,2.96,0.48,22.0
2000,9,1,2.73,97.74,3.7,0.01,22.99
2000,9,2,2.82,97.96,3.74,13.42,21.55
2000,9,3,2.45,98.04,3.23,9.64,21.23
2000,9,4,1.99,98.23,2.55,0.48,21.22
2000,9,5,2.23,98.59,3.02,0.0,20.66
2000,9,6,2.52,98.34,3.38,0.0,21.96
2000,9,7,2.26,98.09,3.13,0.01,21.89
2000,9,8,2.22,98.43,3.02,0.0,21.68
2000,9,9,1.63,98.7,2.12,0.0,21.37
2000,9,10,1.45,98.52,1.95,0.01,21.05
2000,9,11,2.2,98.07,2.93,0.01,21.64
2000,9,12,1.95,97.98,2.6,0.24,22.38
2000,9,13,2.18,98.03,2.93,0.0,23.09
2000,9,14,2.35,98.11,3.16,0.01,23.36
2000,9,15,2.17,98.11,2.95,0.02,23.99
2000,9,16,1.2,97.98,1.61,0.01,23.81
2000,9,17,1.79,97.72,2.42,0.47,21.36
2000,9,18,1.41,97.38,1.91,15.36,19.63
2000,9,19,2.48,96.81,3.48,19.79,19.84
2000,9,20,4.63,97.26,6.36,3.0,16.32
2000,9,21,2.32,98.38,3.27,0.0,17.41
2000,9,22,1.4,98.49,1.88,0.0,20.35
2000,9,23,1.74,98.23,2.34,0.0,19.9
2000,9,24,1.77,98.35,2.41,0.12,20.17
2000,9,25,1.93,98.66,2.65,0.0,20.62
2000,9,26,1.07,98.58,1.48,0.91,20.11
2000,9,27,1.5,98.46,2.09,3.63,19.66
2000,9,28,2.44,97.69,3.2,10.73,20.27
